2560, 22, 80, 0
2561, 176, 1130, 375
2562, 153, 1133, 339
2563, 165, 1134, 300
2564, 162, 1131, 266
2565, 157, 1130, 230
2566, 144, 1128, 196
2567, 142, 1131, 164
2568, 163, 1104, 191
2569, 174, 1104, 224
2570, 178, 1103, 259
2571, 188, 1105, 295
2572, 181, 1106, 329
2573, 173, 1105, 364
2574, 22, 65, 0
2575, 243, 1144, 646
2576, 251, 1144, 595
2577, 235, 1144, 546
2578, 172, 1149, 505
2579, 174, 1160, 480
2580, 185, 1166, 452
2581, 189, 1173, 418
2582, 169, 1177, 387
2583, 146, 1184, 360
2584, 152, 1193, 336
2585, 183, 1198, 308
2586, 187, 1201, 276
2587, 197, 1202, 239
2588, 196, 1203, 202
2589, 173, 1203, 168
2590, 39, 1203, 154
2591, 22, 67, 0
2592, 22, 85, 0
2593, 22, 32, 0
2594, 23, 39, 1043
2595, 23, 23, 136
2596, 22, 31, 0
2597, 23, 54, 79
2598, 22, 56, 8
2599, 22, 3, 8
2600, 22, 88, 0
2601, 22, 48, 5
2602, 22, 39, 6
2603, 22, 40, 5
2604, 23, 56, 56
2605, 22, 64, 0
2606, 23, 54, 47
2607, 22, 26, 0
2608, 22, 72, 0
2609, 22, 19, 0
2610, 23, 1176, 183
2611, 22, 39, 0
2612, 22, 64, 0
2613, 22, 71, 5
2614, 22, 40, 6
2615, 23, 1256, 423
2616, 22, 45, 8
2617, 22, 7, 5
2618, 22, 24, 0
2619, 23, 32, 31
2620, 23, 24, 24
2621, 22, 63, 0
2622, 22, 16, 0
2623, 23, 1147, 205
2624, 22, 64, 0
2625, 41, 1232, 159
2626, 50, 1236, 162
2627, 159, 1235, 173
2628, 198, 1234, 203
2629, 190, 1232, 238
2630, 182, 1232, 272
2631, 187, 1229, 302
2632, 170, 1226, 325
2633, 185, 1218, 348
2634, 204, 1209, 371
2635, 199, 1205, 400
2636, 211, 1200, 434
2637, 214, 1196, 469
2638, 228, 1193, 509
2639, 248, 1192, 553
2640, 216, 1192, 602
2641, 239, 1194, 654
2642, 183, 1260, 298
2643, 155, 1264, 318
2644, 163, 1269, 334
2645, 200, 1274, 354
2646, 212, 1277, 379
2647, 216, 1281, 411
2648, 251, 1282, 450
2649, 245, 1284, 492
2650, 246, 1286, 540
2651, 254, 1285, 590
2652, 254, 1286, 645
2653, 23, 1447, 664
2654, 27, 1466, 622
2655, 152, 1455, 576
2656, 198, 1454, 530
2657, 192, 1450, 488
2658, 139, 1442, 450
2659, 87, 1426, 424
2660, 83, 1405, 407
2661, 140, 1386, 389
2662, 136, 1371, 368
2663, 162, 1359, 345
2664, 46, 1352, 318
2665, 65, 1338, 286
2666, 119, 1328, 259
2667, 23, 64, 32
2668, 23, 7, 96
2669, 22, 39, 13
2670, 22, 24, 6
2671, 22, 53, 0
2672, 22, 40, 0
2673, 22, 21, 0
2674, 23, 23, 67
2675, 22, 56, 0
2676, 23, 0, 214
2677, 22, 16, 0
2678, 22, 15, 0
2679, 22, 32, 8
2680, 22, 85, 8
2681, 23, 32, 1040
2682, 23, 24, 79
2683, 23, 23, 72
2684, 23, 48, 16
2685, 23, 1184, 277
2686, 23, 1256, 431
2687, 22, 79, 5
2688, 195, 1373, 670
2689, 218, 1383, 617
2690, 232, 1383, 568
2691, 219, 1381, 522
2692, 224, 1375, 481
2693, 201, 1374, 440
2694, 129, 1362, 411
2695, 147, 1350, 386
2696, 156, 1338, 361
2697, 161, 1329, 332
2698, 182, 1322, 305
2699, 201, 1317, 277
2700, 197, 1310, 246
2701, 132, 1302, 217
2702, 23, 14, 968
2703, 23, 31, 43
2704, 22, 39, 5
2705, 22, 80, 7
2706, 23, 86, 16
2707, 23, 14, 144
2708, 23, 64, 15
2709, 23, 39, 47
2710, 23, 40, 1064
2711, 23, 23, 69
2712, 22, 23, 5
2713, 23, 960, 519
2714, 23, 8, 1023
2715, 23, 56, 32
2716, 22, 48, 6
2717, 22, 40, 2
2718, 22, 87, 0
2719, 22, 80, 2
2720, 22, 45, 0
2721, 22, 64, 0
2722, 22, 56, 6
2723, 22, 86, 0
2724, 22, 80, 0
2725, 23, 15, 160
2726, 23, 64, 55
2727, 23, 8, 64
2728, 22, 63, 5
2729, 22, 58, 0
2730, 23, 55, 40
2731, 23, 86, 15
2732, 22, 72, 0
2733, 22, 3, 8
2734, 23, 56, 8
2735, 23, 1263, 399
2736, 22, 88, 5
2737, 22, 48, 8
2738, 22, 21, 8
2739, 23, 23, 30
2740, 22, 93, 0
2741, 22, 64, 0
2742, 22, 38, 0
2743, 23, 39, 39
2744, 22, 71, 13
2745, 22, 32, 6
2746, 22, 59, 0
2747, 22, 29, 3
2748, 23, 1160, 287
2749, 23, 39, 91
2750, 23, 63, 16
2751, 22, 71, 0
2752, 135, 904, 592
2753, 56, 894, 564
2754, 137, 916, 565
2755, 102, 905, 538
2756, 30, 904, 516
2757, 169, 942, 635
2758, 210, 934, 588
2759, 157, 927, 547
2760, 23, 15, 144
2761, 103, 915, 495
2762, 22, 40, 8
2763, 161, 939, 504
2764, 152, 939, 479
2765, 109, 941, 463
2766, 35, 946, 450
2767, 178, 972, 615
2768, 248, 970, 565
2769, 249, 973, 518
2770, 134, 978, 487
2771, 131, 979, 473
2772, 142, 982, 459
2773, 120, 985, 447
2774, 238, 1004, 617
2775, 244, 1009, 567
2776, 197, 1014, 519
2777, 143, 1014, 502
2778, 166, 1051, 509
2779, 248, 1050, 532
2780, 247, 1046, 580
2781, 248, 1042, 631
2782, 197, 1095, 506
2783, 216, 1097, 528
